Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Select Investors 1,Select Investors 2,Select Investors 3,Select Investors 4,Number of Investors
Kong,$1B,12/31/2020,Internet software & services,San Francisco,United States,North America,2007,$169M,"New Enterprise Associates, CRV, Index Ventures",New Enterprise Associates, CRV, Index Ventures,,3
Koudai,$1B,10/23/2014,E-commerce & direct-to-consumer,Beijing,China,Asia,2010,$368M,"New Enterprise Associates, Tiger Global management, Tencent",New Enterprise Associates, Tiger Global management, Tencent,,3
Panther Labs,$1B,12/2/2021,Cybersecurity,San Francisco,United States,North America,2018,$141M,"Innovation Endeavors, s28 Capital, Lightspeed Venture Partners",Innovation Endeavors, s28 Capital, Lightspeed Venture Partners,,3
Papa,$1B,11/4/2021,Health,Miami,United States,North America,2016,$241M,"Initialized Capital, Canaan Partners, Sound Ventures",Initialized Capital, Canaan Partners, Sound Ventures,,3
Pristyn Care,$1B,12/7/2021,Health,Gurugram,India,Asia,2018,$177M,"Sequoia Capital India, Hummingbird Ventures, Epiq Capital",Sequoia Capital India, Hummingbird Ventures, Epiq Capital,,3
Rebel Foods,$1B,10/7/2021,E-commerce & direct-to-consumer,Pune,India,Asia,2011,$521M,"Sequoia Capital India, Lightbox Ventures, Coatue Management",Sequoia Capital India, Lightbox Ventures, Coatue Management,,3
Salt Security,$1B,2/10/2022,Cybersecurity,Palo Alto,United States,North America,2016,$271M,"Y Combinator, S Capital, Tenaya Capital",Y Combinator, S Capital, Tenaya Capital,,3
Scalable Capital,$1B,6/8/2021,Fintech,Munich,Germany,Europe,2014,$314M,"BlackRock, Tengelmann Ventures, Holtzbrinck Ventures",BlackRock, Tengelmann Ventures, Holtzbrinck Ventures,,3
SparkCognition,$1B,1/25/2022,Artificial intelligence,Austin,United States,North America,2013,$286M,"March Capital Partners, Temasek, Doha Venture Capital",March Capital Partners, Temasek, Doha Venture Capital,,3
Stash,$1B,2/3/2021,Fintech,New York,United States,North America,2015,$426M,"Goodwater Capital, Entree Capital, Valar Ventures",Goodwater Capital, Entree Capital, Valar Ventures,,3
Symphony,$1B,5/16/2017,Fintech,New York,United States,North America,2014,$511M,"BNP Paribas, Goldman Sachs, Google",BNP Paribas, Goldman Sachs, Google,,3
Tripledot,$1B,2/14/2022,Mobile & telecommunications,London,United Kingdom,Europe,2017,$202M,"Lightspeed Venture Partners, Access Industries, Eldridge",Lightspeed Venture Partners, Access Industries, Eldridge,,3
VideoAmp,$1B,10/21/2021,Internet software & services,Los Angeles,United States,North America,2014,$382M,"Simon Equity Partners, Wavemaker Partners, Anthem Venture Partners",Simon Equity Partners, Wavemaker Partners, Anthem Venture Partners,,3
Yidian Zixun,$1B,10/17/2017,Mobile & telecommunications,Beijing,China,Asia,2021,$151M,"Phoenix New Media, Tianjin Haihe Industry Fund",Phoenix New Media, Tianjin Haihe Industry Fund,,,2
Yotpo,$1B,3/18/2021,Internet software & services,New York,United States,North America,2011,$436M,"Bessemer Venture Partners, Vintage Investment Partners, Blumberg Capital",Bessemer Venture Partners, Vintage Investment Partners, Blumberg Capital,,3
Neon,$1B,2/14/2022,Fintech,Sao Paulo,Brazil,South America,2016,$720M,"Propel Venture Partners, Monashees+, BBVA",Propel Venture Partners, Monashees+, BBVA,,3
Veepee,$1B,7/2/2007,E-commerce & direct-to-consumer,La Plaine Saint-Denis,France,Europe,2001,Unknown,"Summit Partners, Qatar Holding",Summit Partners, Qatar Holding,,,2
Alloy,$1B,9/30/2021,Fintech,New York,United States,North America,2015,$156M,"Bessemer Venture Partners, Eniac Ventures, Canapi Ventures",Bessemer Venture Partners, Eniac Ventures, Canapi Ventures,,3
Epirus,$1B,2/14/2022,Other,Hawthorne,United States,North America,2018,$287M,"8VC, Bedrock Capital, Broom Ventures",8VC, Bedrock Capital, Broom Ventures,,3
Klook,$1B,8/7/2018,Travel,Central,Hong Kong,Asia,2014,$722M,"Sequoia Capital China, Goldman Sachs, Matrix Partners China",Sequoia Capital China, Goldman Sachs, Matrix Partners China,,3
Yaoshibang,$1B,6/15/2021,Health,Guangzhou,China,Asia,2015,$496M,"Green Pine Capital Partners, Ivy Capital, DCM Ventures",Green Pine Capital Partners, Ivy Capital, DCM Ventures,,3
Signifyd,$1B,4/15/2021,Fintech,San Jose,United States,North America,2011,$390M,"Menlo Ventures, Resolute Ventures, IA Ventures",Menlo Ventures, Resolute Ventures, IA Ventures,,3
Motorway,$1B,11/29/2021,E-commerce & direct-to-consumer,London,United Kingdom,Europe,2017,$276M,"Marchmont Ventures, BMW i Ventures, Index Ventures",Marchmont Ventures, BMW i Ventures, Index Ventures,,3
RIDI,$1B,1/24/2022,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,2008,$178M,"Atinum Investment, Company K Partners, GIC",Atinum Investment, Company K Partners, GIC,,3
Athletic Greens,$1B,1/25/2022,Health,New York,United States,North America,2010,$115M,"SC.Holdings, Not Boring Capital, Bolt Ventures",SC.Holdings, Not Boring Capital, Bolt Ventures,,3
GPclub,$1B,10/22/2018,Other,Seoul,South Korea,Asia,2003,$67M,Goldman Sachs,Goldman Sachs,,,,1
Grove Collaborative,$1B,9/6/2019,E-commerce & direct-to-consumer,San Francisco,United States,North America,2016,$475M,"MHS Capital, NextView Ventures, Mayfield Fund",MHS Capital, NextView Ventures, Mayfield Fund,,3
Tongdun Technology,$1B,4/25/2019,Cybersecurity,Hangzhou,China,Asia,2013,$252M,"Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co.",Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co.,,3
Unisound,$1B,7/19/2018,Artificial intelligence,Beijing,China,Asia,2012,$361M,"Qiming Venture Partners, China Internet Investment Fund, Qualcomm Ventures",Qiming Venture Partners, China Internet Investment Fund, Qualcomm Ventures,,3
Betterment,$1B,9/29/2021,Fintech,New York,United States,North America,2010,$335M,"Bessemer Venture Partners, Menlo Ventures, Anthermis",Bessemer Venture Partners, Menlo Ventures, Anthermis,,3
Cava Group,$1B,4/27/2021,Other,Washington,United States,North America,2010,$738M,"SWaN & Legend Ventures, Revolution Growth, Invus Group",SWaN & Legend Ventures, Revolution Growth, Invus Group,,3
CoinTracker,$1B,1/27/2022,Fintech,San Francisco,United States,North America,2017,$102M,"Initialized Capital, General Catalyst, Kraken Ventures",Initialized Capital, General Catalyst, Kraken Ventures,,3
DistroKid,$1B,8/16/2021,Internet software & services,New York,United States,North America,2013,Unknown,"Insight Partners, Silversmith Capital Partners, Spotify",Insight Partners, Silversmith Capital Partners, Spotify,,3
Domestika,$1B,1/27/2022,Internet software & services,Berkeley,United States,North America,2012,$130M,"Zeev Ventures, GSV Ventures",Zeev Ventures, GSV Ventures,,,2
Flock Freight,$1B,10/20/2021,"Supply chain, logistics, & delivery",Encinitas,United States,North America,2015,$399M,"SignalFire, GLP Capital Partners, Google Ventures",SignalFire, GLP Capital Partners, Google Ventures,,3
InSightec,$1B,3/6/2020,Health,Tirat Carmel,Israel,Asia,1999,$633M,"York Capital Management, GE Healthcare, Koch Disruptive Technologies",York Capital Management, GE Healthcare, Koch Disruptive Technologies,,3
Island,$1B,3/23/2022,Internet software & services,Dallas,United States,North America,2020,$215M,"Insight Partners, Sequoia Capital, Stripes Group",Insight Partners, Sequoia Capital, Stripes Group,,3
iTrustCapital,$1B,1/11/2022,Fintech,Long Beach,United States,North America,2018,$128M,"Left Lane Capital, Walden Venture Capital",Left Lane Capital, Walden Venture Capital,,,2
Konfio,$1B,9/29/2021,Fintech,Mexico City,Mexico,North America,2013,$378M,"Kaszek Ventures, QED Investors, International Finance Corporation",Kaszek Ventures, QED Investors, International Finance Corporation,,3
LinkTree,$1B,3/16/2022,Internet software & services,Melbourne,Australia,Oceania,2016,$166M,"AirTree Ventures, Insight Partners, Index Ventures",AirTree Ventures, Insight Partners, Index Ventures,,3
Loadsmart,$1B,2/1/2022,"Supply chain, logistics, & delivery",New York,United States,North America,2014,$336M,"Chromo Invest, Maersk Growth, BlackRock",Chromo Invest, Maersk Growth, BlackRock,,3
Lukka,$1B,1/14/2022,Fintech,New York,United States,North America,2014,$201M,"Liberty City Ventures, Soros Fund Management, Summer Capital",Liberty City Ventures, Soros Fund Management, Summer Capital,,3
Manner,$1B,12/24/2020,Other,Shanghai,China,Asia,2015,$10M,"Coatue Management, H Capital, Capital Today",Coatue Management, H Capital, Capital Today,,3
The Brandtech Group,$1B,11/19/2019,Other,New York,United States,North America,2015,$610M,Undisclosed,Undisclosed,,,,1
TravelPerk,$1B,1/12/2022,Travel,Barcelona,Spain,Europe,2015,$408M,"LocalGlobe, Kinnevik, Felix Capital",LocalGlobe, Kinnevik, Felix Capital,,3
YugaByte,$1B,10/28/2021,Data management & analytics,Sunnyvale,United States,North America,2016,$291M,"Lightspeed Venture Partners, Dell Technologies Capital, Wipro Ventures",Lightspeed Venture Partners, Dell Technologies Capital, Wipro Ventures,,3
Intercom,$1B,3/27/2018,Internet software & services,San Francisco,United States,North America,2011,$241M,"FirstMark Capital, Tiger Global Management",FirstMark Capital, Tiger Global Management,,,2
OVO Energy,$1B,2/14/2019,Other,Bristol,United Kingdom,Europe,2009,$324M,"Mitsubishi Corporation, Mayfair Equity Partners",Mitsubishi Corporation, Mayfair Equity Partners,,,2
BigID,$1B,12/16/2020,Cybersecurity,New York,United States,North America,2015,$246M,"BOLDstart Ventures, SAP.iO Fund, Scale Venture Partners",BOLDstart Ventures, SAP.iO Fund, Scale Venture Partners,,3
CaptivateIQ,$1B,1/26/2022,Fintech,San Francisco,United States,North America,2014,$165M,"Sequoia Capital, Y Combinator, Accel",Sequoia Capital, Y Combinator, Accel,,3
Flipdish,$1B,1/13/2022,Internet software & services,Dublin,Ireland,Europe,2015,$157M,"Tencent Holdings, Tiger Global Management, Global Founders Capital",Tencent Holdings, Tiger Global Management, Global Founders Capital,,3
Honor Technology,$1B,10/5/2021,Internet software & services,San Francisco,United States,North America,2014,$325M,"Andreessen Horowitz, Prosus Ventures, Thrive Capital",Andreessen Horowitz, Prosus Ventures, Thrive Capital,,3
Incode Technologies,$1B,12/7/2021,Cybersecurity,San Francisco,United States,North America,2015,$257M,"Dila Capital, Framework Ventures, 3L",Dila Capital, Framework Ventures, 3L,,3
Kuaikan Manhua,$1B,12/1/2017,Internet software & services,Beijing,China,Asia,2014,$594M,"Sequoia Capital China, CMC Capital Partners, Tencent Holdings",Sequoia Capital China, CMC Capital Partners, Tencent Holdings,,3
Marshmallow,$1B,9/8/2021,Fintech,London,United Kingdom,Europe,2017,$116M,"Passion Capital, Hedosophia, Outrun Ventures",Passion Capital, Hedosophia, Outrun Ventures,,3
Mythical Games,$1B,11/4/2021,Internet software & services,Sherman Oaks,United States,North America,2018,$260M,"Javelin Venture Partners, Struck Capital, Alumni Ventures Group",Javelin Venture Partners, Struck Capital, Alumni Ventures Group,,3
Route,$1B,1/21/2022,"Supply chain, logistics, & delivery",Lehi,United States,North America,2018,$482M,"Madrona Venture Group, Banner Ventures, FJ Labs",Madrona Venture Group, Banner Ventures, FJ Labs,,3
Tackle.io,$1B,12/21/2021,Internet software & services,Boise,United States,North America,2016,$148M,"Andreessen Horowitz, Bessemer Venture Partners, Coatue Management",Andreessen Horowitz, Bessemer Venture Partners, Coatue Management,,3
Nexii,$1B,9/8/2021,Other,Vancouver,Canada,North America,2020,$45M,"Trane Technologies, Honeywell",Trane Technologies, Honeywell,,,2
GalaxySpace,$1B,11/17/2020,Mobile & telecommunications,Beijing,China,Asia,2016,$14M,"Shunwei Capital Partners, 5Y Capital, Legend Capital",Shunwei Capital Partners, 5Y Capital, Legend Capital,,3
Insider,$1B,2/28/2022,Internet software & services,Istanbul,Turkey,Europe,2012,$167M,"Wamda Capital, Endeavor, Riverwood Capital",Wamda Capital, Endeavor, Riverwood Capital,,3
Spiber,$1B,9/8/2021,Other,Tsuruoka,Japan,Asia,2007,$520M,"Cool Japan Fund, JAFCO, The Carlyle Group",Cool Japan Fund, JAFCO, The Carlyle Group,,3
Ada Support,$1B,5/7/2021,Artificial intelligence,Toronto,Canada,North America,2016,$191M,"Version One Ventures, Bessemer Venture Partners, FirstMark Capital",Version One Ventures, Bessemer Venture Partners, FirstMark Capital,,3
AgentSync,$1B,12/7/2021,Fintech,Denver,United States,North America,2018,$111M,"Craft Ventures, Caffeinated Capital, Operator Collective",Craft Ventures, Caffeinated Capital, Operator Collective,,3
Alation,$1B,6/3/2021,Internet software & services,Redwood City,United States,North America,2012,$192M,"Costanoa Ventures, Data Collective, Salesforce Ventures",Costanoa Ventures, Data Collective, Salesforce Ventures,,3
BigPanda,$1B,1/12/2022,Artificial intelligence,Mountain View,United States,North America,2012,$317M,"Advent International, Battery Ventures, Sequoia Capital Israel",Advent International, Battery Ventures, Sequoia Capital Israel,,3
CarDekho,$1B,10/13/2021,E-commerce & direct-to-consumer,Jaipur,India,Asia,2008,$448M,"Sequoia Capital India, Hillhouse Capital Management, Sunley House Capital Management",Sequoia Capital India, Hillhouse Capital Management, Sunley House Capital Management,,3
Copado,$1B,9/13/2021,Data management & analytics,Chicago,United States,North America,2013,$271M,"Insight Partners, Salesforce Ventures, Perpetual Investors",Insight Partners, Salesforce Ventures, Perpetual Investors,,3
DailyPay,$1B,5/18/2021,Fintech,New York,United States,North America,2016,$189M,"RPM Ventures, Inspiration Ventures, Carrick Capital Partners",RPM Ventures, Inspiration Ventures, Carrick Capital Partners,,3
FloQast,$1B,7/21/2021,Fintech,Los Angeles,United States,North America,2013,$230M,"Polaris Partners, Insight Partners, Norwest Venture Partners",Polaris Partners, Insight Partners, Norwest Venture Partners,,3
Gem,$1B,9/28/2021,Internet software & services,San Francisco,United States,North America,2017,$148M,"Accel, Greylock Partners, Meritech Capital Partners",Accel, Greylock Partners, Meritech Capital Partners,,3
GrubMarket,$1B,9/14/2021,E-commerce & direct-to-consumer,San Francisco,United States,North America,2013,$382M,"GGV Capital, BlackRock, ACE & Company",GGV Capital, BlackRock, ACE & Company,,3
Helium Systems,$1B,2/22/2022,Internet software & services,San Francisco,United States,North America,2013,$365M,"FirstMark Capital, Tiger Global Management, FTX Venture",FirstMark Capital, Tiger Global Management, FTX Venture,,3
Inari,$1B,5/12/2021,Other,Cambridge,United States,North America,2016,$337M,"Flagship Pioneering, Alexandria Venture Investments, Investment Corporation of Dubai",Flagship Pioneering, Alexandria Venture Investments, Investment Corporation of Dubai,,3
Jokr,$1B,12/2/2021,E-commerce & direct-to-consumer,New York,United States,North America,2021,$430M,"GGV Capital, Tiger Global Management, Greycroft",GGV Capital, Tiger Global Management, Greycroft,,3
LivSpace,$1B,2/8/2022,E-commerce & direct-to-consumer,Bengaluru,India,Asia,2015,$427M,"Jungle Ventures, Helion Venture Partners, INGKA Investments",Jungle Ventures, Helion Venture Partners, INGKA Investments,,3
Merama,$1B,12/9/2021,E-commerce & direct-to-consumer,Mexico City,Mexico,North America,2020,$345M,"SoftBank Latin America Fund, Advent International, Balderton Capital",SoftBank Latin America Fund, Advent International, Balderton Capital,,3
MindTickle,$1B,8/3/2021,Internet software & services,San Francisco,United States,North America,2012,$281M,"Qualcomm Ventures, Accel, Canaan Partners",Qualcomm Ventures, Accel, Canaan Partners,,3
MyGlamm,$1B,11/10/2021,E-commerce & direct-to-consumer,Mumbai,India,Asia,2015,$310M,"L'Occitane, Trifecta Capital, Bessemer Venture Partners",L'Occitane, Trifecta Capital, Bessemer Venture Partners,,3
Oda,$1B,6/2/2021,E-commerce & direct-to-consumer,Oslo,Norway,Europe,2013,$337M,"Kinnevik, Softbank Group, Prosus Ventures",Kinnevik, Softbank Group, Prosus Ventures,,3
Offchain Labs,$1B,8/31/2021,Internet software & services,Princeton,United States,North America,2018,$124M,"Pantera Capital, Polychain Capital, Lightspeed Venture Partners",Pantera Capital, Polychain Capital, Lightspeed Venture Partners,,3
Phantom,$1B,1/31/2022,Fintech,San Francisco,United States,North America,2021,$118M,"Paradigm, Andreessen Horowitz, Jump Capital",Paradigm, Andreessen Horowitz, Jump Capital,,3
Pilot.com,$1B,3/26/2021,Fintech,San Francisco,United States,North America,2016,$161M,"Index Ventures, Sequoia Capital, Bezos Expeditions",Index Ventures, Sequoia Capital, Bezos Expeditions,,3
Prime Medicine,$1B,7/13/2021,Health,Cambridge,United States,North America,2019,$315M,"Newpath Partners, Google Ventures, F-Prime Capital",Newpath Partners, Google Ventures, F-Prime Capital,,3
Public,$1B,2/17/2021,Fintech,New York,United States,North America,2008,$309M,"Accel, Greycroft, Advancit Capital",Accel, Greycroft, Advancit Capital,,3
Qumulo,$1B,7/16/2020,Data management & analytics,Seattle,United States,North America,2012,$347M,"Madrona Venture Group, Kleiner Perkins Caufield & Byers, Highland Capital Partners",Madrona Venture Group, Kleiner Perkins Caufield & Byers, Highland Capital Partners,,3
Rohlik,$1B,7/1/2021,"Supply chain, logistics, & delivery",Prague,Czech Republic,Europe,2019,$380M,"Partech Partners, Index Ventures, Quadrille Capital",Partech Partners, Index Ventures, Quadrille Capital,,3
SeekOut,$1B,1/12/2022,Internet software & services,Bellevue,United States,North America,2017,$189M,"Mayfield, Madrona Venture Group, Tiger Global Management",Mayfield, Madrona Venture Group, Tiger Global Management,,3
SmartMore,$1B,6/24/2021,Artificial Intelligence,Shenzhen,China,Asia,2019,$300M,"IDG Capital, ZhenFund, Sequoia Capital China",IDG Capital, ZhenFund, Sequoia Capital China,,3
Tealium,$1B,2/3/2021,Internet software & services,San Diego,United States,North America,2008,$264M,"Georgian Partners, Silver Lake, Presidio Ventures",Georgian Partners, Silver Lake, Presidio Ventures,,3
UpGrad,$1B,8/9/2021,Edtech,Mumbai,India,Asia,2015,$194M,"Qualcomm Ventures, Accel, Canaan Partners",Qualcomm Ventures, Accel, Canaan Partners,,3
